Gene_Symbol,log2FC,P_Value,Adjusted_P_Value,Regulation
DDX11L9,2.42432470254409,3.31031494226112e-09,3.40664353821128e-07,Upregulated
LOC105377953,2.56643615125744,4.48824722965447e-09,4.59706605399609e-07,Upregulated
TCAF2,-1.66114609448934,4.94663105585695e-09,5.02255114902092e-07,Downregulated
LOC107987320,-2.8432929842354,4.9499214603043e-09,5.02255114902092e-07,Downregulated
LOC105369949,-2.51407367921741,5.02351903155269e-09,5.07352056982024e-07,Downregulated
NAALADL1,2.16054204042103,5.2420233191260104e-09,5.26968955331029e-07,Upregulated
NUTM2D,-1.65809313301247,5.65151002862579e-09,5.65515616412812e-07,Downregulated
RNFT1-DT,-1.38492737885086,6.1887727857532206e-09,6.16435836100208e-07,Downregulated
FGF7P8,-1.6851015692816,6.585223780800771e-09,6.52929448293644e-07,Downregulated
LOC105379039,-3.30070306598823,8.17322490754532e-09,8.06697298374723e-07,Downregulated
LOC105378895,1.70579380924507,8.24708690849493e-09,8.10304276611126e-07,Upregulated
LOC124903399,-2.88511922758481,8.294632140279111e-09,8.11304695018111e-07,Downregulated
LOC105370559,-1.7219163002713,8.39591319619755e-09,8.17528516332886e-07,Downregulated
AQP7P2,-4.38551456645141,9.0997462659749e-09,8.82106653657942e-07,Downregulated
NBPF12,-2.78210985348889,1.00776642039631e-08,9.72561780110466e-07,Downregulated
OVOL3,1.7117209860127,1.08636544927504e-08,1.04377607812205e-06,Upregulated
LOC124902472,-3.02605141588661,1.32697652785239e-08,1.26377054060469e-06,Downregulated
LOC100420019,-3.12185402521553,1.45222927608095e-08,1.37701775112759e-06,Downregulated
PPP1R12BP2,-3.04538814265946,1.54107759500589e-08,1.45491125643296e-06,Downregulated
RPL9P8,-1.87381203149746,1.59728188059048e-08,1.50144496775505e-06,Downregulated
LOC124909363,-2.34526231506346,1.74456112031515e-08,1.63281897269497e-06,Downregulated
LOC100421093,-3.28661661623165,1.81824305453797e-08,1.69447766893723e-06,Downregulated
APP,2.09578655916973,1.91480846975628e-08,1.77684406462769e-06,Upregulated
MTRNR2L12,2.36844172980449,1.9278490088506e-08,1.78133248417796e-06,Upregulated
H1-10,1.10218136779634,2.27498372583512e-08,2.09317782299932e-06,Upregulated
ANKRD19P,1.00055311291352,2.51817639652848e-08,2.29770822311987e-06,Upregulated
